state,cases-norm
NY,16510.70
NJ,14848.82
MA,10364.05
RI,9633.17
CT,8693.55
DC,7737.88
LA,6539.12
DE,5933.68
IL,5384.55
MD,4658.37
MI,4511.33
PA,4049.76
NE,3328.15
IA,3297.55
IN,3248.56
SD,3141.32
CO,3015.25
GA,2891.10
MS,2830.50
VA,2373.14
WA,2047.83
TN,2039.75
NM,1973.46
KS,1968.21
NH,1938.65
OH,1845.82
NV,1838.54
FL,1769.37
AL,1750.09
UT,1745.19
ND,1736.08
WI,1528.74
MN,1521.20
CA,1488.53
MO,1483.03
VT,1455.15
SC,1347.13
AZ,1333.61
KY,1303.14
NC,1216.43
ID,1190.17
TX,1187.13
AR,1182.31
OK,1061.67
WY,1043.61
ME,932.89
GU,911.19
WV,696.40
OR,691.37
VI,629.09
PR,616.21
AK,508.51
HI,441.42
MT,426.66
MP,271.77
AS,0.00
