state,cases
CA,425616
NY,409697
FL,389868
TX,361125
NJ,177887
IL,168100
GA,156588
AZ,152944
MA,114320
NC,106893
PA,104358
LA,101650
TN,86987
MI,84431
VA,81237
MD,80836
OH,80186
SC,76606
AL,74212
IN,59602
WI,49669
WA,49247
MN,48721
CT,48232
MS,48053
CO,41698
IA,40634
NV,39919
MO,37700
AR,36259
UT,36099
OK,27969
KY,25147
KS,24104
NE,23486
RI,18148
NM,17828
ID,16322
OR,15713
DE,13924
PR,13473
DC,11571
SD,8143
NH,6295
WV,5550
ND,5493
ME,3737
MT,2910
AK,2684
WY,2346
HI,1435
VT,1377
VI,336
GU,332
MP,38
AS,0
