date,state,positive,negative,pending,hospitalized,death,total,dateChecked
20200324,AK,36,986,,0,,1022,2020-03-24T20:00:00Z
20200324,AL,215,2106,,,0,2321,2020-03-24T20:00:00Z
20200324,AR,218,947,0,22,0,1165,2020-03-24T20:00:00Z
20200324,AS,0,,,,0,0,2020-03-24T20:00:00Z
20200324,AZ,357,313,22,8,5,692,2020-03-24T20:00:00Z
20200324,CA,2102,13452,12100,,40,27654,2020-03-24T20:00:00Z
20200324,CO,720,5504,,72,7,6224,2020-03-24T20:00:00Z
20200324,CT,618,4682,,71,12,5300,2020-03-24T20:00:00Z
20200324,DC,137,1195,2,,2,1334,2020-03-24T20:00:00Z
20200324,DE,91,36,,0,0,127,2020-03-24T20:00:00Z
20200324,FL,1412,13127,1008,259,18,15547,2020-03-24T20:00:00Z
20200324,GA,1026,4458,,,32,5484,2020-03-24T20:00:00Z
20200324,GU,32,201,,5,1,233,2020-03-24T20:00:00Z
20200324,HI,77,3589,,4,1,3666,2020-03-24T20:00:00Z
20200324,IA,124,2315,,27,,2439,2020-03-24T20:00:00Z
20200324,ID,50,1887,,,0,1937,2020-03-24T20:00:00Z
20200324,IL,1551,9934,,,16,11485,2020-03-24T20:00:00Z
20200324,IN,365,2566,,1,12,2931,2020-03-24T20:00:00Z
20200324,KS,98,2086,,,2,2184,2020-03-24T20:00:00Z
20200324,KY,124,1742,,,4,1866,2020-03-24T20:00:00Z
20200324,LA,1388,7215,,271,46,8603,2020-03-24T20:00:00Z
20200324,MA,1159,12590,,94,11,13749,2020-03-24T20:00:00Z
20200324,MD,349,94,,,3,443,2020-03-24T20:00:00Z
20200324,ME,125,3014,,,,3139,2020-03-24T20:00:00Z
20200324,MI,1791,2069,,,24,3860,2020-03-24T20:00:00Z
20200324,MN,262,5550,,21,1,5812,2020-03-24T20:00:00Z
20200324,MO,183,369,,,3,552,2020-03-24T20:00:00Z
20200324,MP,0,,,,0,0,2020-03-24T20:00:00Z
20200324,MS,320,1552,,86,1,1872,2020-03-24T20:00:00Z
20200324,MT,46,1643,,,,1689,2020-03-24T20:00:00Z
20200324,NC,398,8141,,,0,8539,2020-03-24T20:00:00Z
20200324,ND,34,1454,,5,0,1488,2020-03-24T20:00:00Z
20200324,NE,52,975,,,0,1027,2020-03-24T20:00:00Z
20200324,NH,101,1447,869,11,1,2417,2020-03-24T20:00:00Z
20200324,NJ,3675,8325,45,,44,12045,2020-03-24T20:00:00Z
20200324,NM,83,5890,,,,5973,2020-03-24T20:00:00Z
20200324,NV,278,3954,0,,4,4232,2020-03-24T20:00:00Z
20200324,NY,25665,65605,,3234,210,91270,2020-03-24T20:00:00Z
20200324,OH,564,140,,145,8,704,2020-03-24T20:00:00Z
20200324,OK,106,735,,25,3,841,2020-03-24T20:00:00Z
20200324,OR,209,4350,,61,8,4559,2020-03-24T20:00:00Z
20200324,PA,851,8643,,,7,9494,2020-03-24T20:00:00Z
20200324,PR,39,268,42,,2,349,2020-03-24T20:00:00Z
20200324,RI,106,1120,77,,,1303,2020-03-24T20:00:00Z
20200324,SC,298,2012,,,5,2310,2020-03-24T20:00:00Z
20200324,SD,30,790,268,,1,1088,2020-03-24T20:00:00Z
20200324,TN,667,10517,,,2,11184,2020-03-24T20:00:00Z
20200324,TX,410,10757,,,9,11167,2020-03-24T20:00:00Z
20200324,UT,299,5524,,,1,5823,2020-03-24T20:00:00Z
20200324,VA,290,4180,,45,7,4470,2020-03-24T20:00:00Z
20200324,VI,17,,,,0,17,2020-03-24T20:00:00Z
20200324,VT,95,1440,,,7,1535,2020-03-24T20:00:00Z
20200324,WA,2221,31712,,,110,33933,2020-03-24T20:00:00Z
20200324,WI,457,8237,,,5,8694,2020-03-24T20:00:00Z
20200324,WV,20,610,0,1,0,630,2020-03-24T20:00:00Z
20200324,WY,29,710,,,,739,2020-03-24T20:00:00Z
20200323,AK,22,946,,0,,968,2020-03-23T20:00:00Z
20200323,AL,167,1665,,,0,1832,2020-03-23T20:00:00Z
20200323,AR,174,906,0,13,0,1080,2020-03-23T20:00:00Z
20200323,AS,,,,,0,0,2020-03-23T20:00:00Z
20200323,AZ,265,309,6,,2,580,2020-03-23T20:00:00Z
20200323,CA,1733,12567,12100,,27,26400,2020-03-23T20:00:00Z
20200323,CO,591,4845,,58,6,5436,2020-03-23T20:00:00Z
20200323,CT,415,4085,,54,10,4500,2020-03-23T20:00:00Z
20200323,DC,116,1113,,,2,1229,2020-03-23T20:00:00Z
20200323,DE,68,36,,0,0,104,2020-03-23T20:00:00Z
20200323,FL,1171,11063,860,217,14,13094,2020-03-23T20:00:00Z
20200323,GA,772,4297,,,25,5069,2020-03-23T20:00:00Z
20200323,GU,29,161,,,1,190,2020-03-23T20:00:00Z
20200323,HI,56,2955,,,,3011,2020-03-23T20:00:00Z
20200323,IA,105,2043,,,,2148,2020-03-23T20:00:00Z
20200323,ID,47,1309,,,0,1356,2020-03-23T20:00:00Z
20200323,IL,1285,8583,,,12,9868,2020-03-23T20:00:00Z
20200323,IN,259,1701,,1,7,1960,2020-03-23T20:00:00Z
20200323,KS,82,417,,,2,499,2020-03-23T20:00:00Z
20200323,KY,104,1762,,,3,1866,2020-03-23T20:00:00Z
20200323,LA,1172,4776,,,34,5948,2020-03-23T20:00:00Z
20200323,MA,777,8145,,79,9,8922,2020-03-23T20:00:00Z
20200323,MD,288,94,,,3,382,2020-03-23T20:00:00Z
20200323,ME,107,2791,,,,2898,2020-03-23T20:00:00Z
20200323,MI,1328,2069,,,15,3397,2020-03-23T20:00:00Z
20200323,MN,235,4511,,17,1,4746,2020-03-23T20:00:00Z
20200323,MO,183,369,,,3,552,2020-03-23T20:00:00Z
20200323,MP,0,,,,0,0,2020-03-23T20:00:00Z
20200323,MS,249,1143,,33,1,1392,2020-03-23T20:00:00Z
20200323,MT,34,1146,,,,1180,2020-03-23T20:00:00Z
20200323,NC,297,8141,,,0,8438,2020-03-23T20:00:00Z
20200323,ND,30,1353,,4,0,1383,2020-03-23T20:00:00Z
20200323,NE,50,356,,,0,406,2020-03-23T20:00:00Z
20200323,NH,78,1374,889,,,2341,2020-03-23T20:00:00Z
20200323,NJ,2844,359,94,,27,3297,2020-03-23T20:00:00Z
20200323,NM,65,5321,,,,5386,2020-03-23T20:00:00Z
20200323,NV,245,3490,0,,4,3735,2020-03-23T20:00:00Z
20200323,NY,20875,57414,,2635,114,78289,2020-03-23T20:00:00Z
20200323,OH,442,140,,104,6,582,2020-03-23T20:00:00Z
20200323,OK,81,694,102,15,2,877,2020-03-23T20:00:00Z
20200323,OR,191,3649,,56,5,3840,2020-03-23T20:00:00Z
20200323,PA,644,6595,,,6,7239,2020-03-23T20:00:00Z
20200323,PR,31,189,35,,2,255,2020-03-23T20:00:00Z
20200323,RI,106,932,216,,,1254,2020-03-23T20:00:00Z
20200323,SC,299,1466,,,5,1765,2020-03-23T20:00:00Z
20200323,SD,28,762,265,,1,1055,2020-03-23T20:00:00Z
20200323,TN,615,3272,,,2,3887,2020-03-23T20:00:00Z
20200323,TX,352,9703,,,8,10055,2020-03-23T20:00:00Z
20200323,UT,257,4790,,,1,5047,2020-03-23T20:00:00Z
20200323,VA,254,3443,,38,6,3697,2020-03-23T20:00:00Z
20200323,VI,17,,,,0,17,2020-03-23T20:00:00Z
20200323,VT,75,1106,,,5,1181,2020-03-23T20:00:00Z
20200323,WA,1996,28879,,,95,30875,2020-03-23T20:00:00Z
20200323,WI,416,7050,,,5,7466,2020-03-23T20:00:00Z
20200323,WV,16,444,4,1,0,464,2020-03-23T20:00:00Z
20200323,WY,26,592,,,,618,2020-03-23T20:00:00Z
20200322,AK,22,946,,0,,968,2020-03-22T20:00:00Z
20200322,AL,138,1464,,,0,1602,2020-03-22T20:00:00Z
20200322,AR,165,711,119,13,0,995,2020-03-22T20:00:00Z
20200322,AS,,,,,0,0,2020-03-22T20:00:00Z
20200322,AZ,152,282,87,,2,521,2020-03-22T20:00:00Z
20200322,CA,1536,11304,,,27,12840,2020-03-22T20:00:00Z
20200322,CO,475,4075,,49,5,4550,2020-03-22T20:00:00Z
20200322,CT,223,2877,,43,5,3100,2020-03-22T20:00:00Z
20200322,DC,98,957,,,1,1055,2020-03-22T20:00:00Z
20200322,DE,56,36,,,0,92,2020-03-22T20:00:00Z
